"dataset"	"analysis"	"subgroup"	"n"	"events"	"hr_per_sd"	"ci_low"	"ci_high"	"p_value"	"covariates"	"standardization"	"c_index"	"clinical_only_c_index"	"delta_c_index"	"source_file"	"provenance_status"
"AACR_LUAD"	"overall_adjusted"	"all"	"9652"	"3883"	"0.9722628363139948"	"0.9264302716824366"	"1.0203628397857056"	"0.25355009837361275"	"age_num;sex_male;stage_metastatic;event_count;log_R_star"	"continuous fitted features z-scored with population SD within analysis set"	"0.6579795642343212"	"0.6574488672852045"	"0.0005306969491167823"	"results/experiment_12_clinical_validation/tables/cox_rstar_results.tsv"	"LEGACY_ONLY"
"AACR_COAD"	"overall_adjusted"	"all"	"5575"	"2416"	"0.7993422217583052"	"0.7408944393905862"	"0.8624008408148703"	"7.416248471503191e-09"	"age_num;sex_male;stage_metastatic;event_count;log_R_star"	"continuous fitted features z-scored with population SD within analysis set"	"0.5708531992473534"	"0.5651555933851282"	"0.00569760586222523"	"results/experiment_12_clinical_validation/tables/cox_rstar_results.tsv"	"LEGACY_ONLY"
"AACR_IDC"	"overall_adjusted"	"all"	"4290"	"1868"	"1.103091327690644"	"0.9991837365051214"	"1.2178045266052737"	"0.051916907069982386"	"age_num;sex_male;stage_metastatic;event_count;log_R_star"	"continuous fitted features z-scored with population SD within analysis set"	"0.5956204941863373"	"0.5940052544065182"	"0.0016152397798191442"	"results/experiment_12_clinical_validation/tables/cox_rstar_results.tsv"	"LEGACY_ONLY"
"AACR_LUAD"	"stage_subgroup_adjusted"	"non-metastatic"	"6146"	"1843"	"0.8746687688510493"	"0.8124095330392845"	"0.9416992589209512"	"0.00037875981523902266"	"age_num;sex_male;event_count;log_R_star"	"continuous fitted features z-scored with population SD within subgroup"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"results/experiment_12_clinical_validation/tables/stage_subgroup_cox.tsv"	"LEGACY_ONLY"
"AACR_LUAD"	"stage_subgroup_adjusted"	"metastatic"	"3506"	"2040"	"1.0657302045965746"	"1.0007275204084733"	"1.1349551659435306"	"0.047406555417026985"	"age_num;sex_male;event_count;log_R_star"	"continuous fitted features z-scored with population SD within subgroup"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"results/experiment_12_clinical_validation/tables/stage_subgroup_cox.tsv"	"LEGACY_ONLY"
"AACR_COAD"	"stage_subgroup_adjusted"	"metastatic"	"1885"	"1017"	"0.8005039520209672"	"0.7186091720514782"	"0.8917316980130088"	"5.320932017875525e-05"	"age_num;sex_male;event_count;log_R_star"	"continuous fitted features z-scored with population SD within subgroup"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"results/experiment_12_clinical_validation/tables/stage_subgroup_cox.tsv"	"LEGACY_ONLY"
"AACR_COAD"	"stage_subgroup_adjusted"	"non-metastatic"	"3690"	"1399"	"0.7993562049868294"	"0.7184403297767477"	"0.8893854033076112"	"3.908128249306565e-05"	"age_num;sex_male;event_count;log_R_star"	"continuous fitted features z-scored with population SD within subgroup"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"results/experiment_12_clinical_validation/tables/stage_subgroup_cox.tsv"	"LEGACY_ONLY"
"AACR_IDC"	"stage_subgroup_adjusted"	"metastatic"	"1649"	"922"	"1.259411075959611"	"1.1139429043329117"	"1.423875722965888"	"0.00023037690750272297"	"age_num;sex_male;event_count;log_R_star"	"continuous fitted features z-scored with population SD within subgroup"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"results/experiment_12_clinical_validation/tables/stage_subgroup_cox.tsv"	"LEGACY_ONLY"
"AACR_IDC"	"stage_subgroup_adjusted"	"non-metastatic"	"2641"	"946"	"0.9656368722772697"	"0.8194405595724921"	"1.1379160552998455"	"0.6763267584175624"	"age_num;sex_male;event_count;log_R_star"	"continuous fitted features z-scored with population SD within subgroup"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"results/experiment_12_clinical_validation/tables/stage_subgroup_cox.tsv"	"LEGACY_ONLY"
