rstar_rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
253	metastatic::APC+KRAS+PIK3CA+TP53	metastatic	APC+KRAS+PIK3CA+TP53	4	69	0.0054360671236114	0.0123588333480409	4	0.0123588333480409	0.0	metastatic::APC+KRAS+TP53	0.2489883891292091	0.0076307006516396	rule_a_one_step	True	True	True	stable	True	0.4398527733229199	0.4019181395803273	-1.315026403551872	True	fast_passing	0.3455451079379412	0.2698355153122844	0.4499441997096378	0.0	0.0	500
254	primary::APC+FBXW7+KRAS+PIK3CA+TCF7L2	primary	APC+FBXW7+KRAS+PIK3CA+TCF7L2	5	5	0.000393917907508	0.0008973095687729	4	0.0008973095687729	0.0	primary::APC+FBXW7+KRAS+PIK3CA	0.2005582326096121	0.0005530243552616	rule_a_one_step	True	True	True	stable	True	0.438998892665037	0.4011379009499164	-1.317829811284804	False	fast_passing	0.3360538232134293	0.0792862296658955	0.6873772060625498	0.0	0.0	500
255	metastatic::APC+KRAS+SMAD4+TCF7L2+TP53	metastatic	APC+KRAS+SMAD4+TCF7L2+TP53	5	7	0.0005514850705113	0.0012659735044403	4	0.0012659735044403	0.0	metastatic::APC+KRAS+SMAD4+TP53	0.0958605853855601	0.0005815224985967	rule_a_one_step	True	True	True	stable	True	0.4356213365772289	0.3980516385878886	-1.3289724935100036	False	fast_passing	0.3300880826114083	0.1058707545710455	0.639623003998578	0.0	0.0	500
256	primary::APC+KRAS+PIK3CA+SOX9+TP53	primary	APC+KRAS+PIK3CA+SOX9+TP53	5	21	0.0016544552115339	0.0038008076448871	4	0.0038008076448871	0.0	primary::APC+KRAS+PIK3CA+TP53	0.1756451676579029	0.0021448830841388	rule_a_one_step	True	True	True	stable	True	0.4352904344749419	0.397749274784815	-1.3300687947906364	True	fast_passing	0.3398086577567843	0.206601733496845	0.5066773268146978	0.0	0.0	500
257	primary::APC+ARID1A+KRAS+PIK3CA+TP53	primary	APC+ARID1A+KRAS+PIK3CA+TP53	5	10	0.0007878358150161	0.0018498082730189	4	0.0018498082730189	0.0	primary::APC+KRAS+PIK3CA+TP53	0.1103716030474918	0.0013477978785441	rule_a_one_step	True	True	True	stable	True	0.4259013358743841	0.3891699289883478	-1.361527856956024	True	fast_passing	0.324864516514233	0.1369778894693456	0.5719379122715286	0.0	0.0	500
258	primary::APC+KRAS+PIK3CA+SMAD4+SOX9	primary	APC+KRAS+PIK3CA+SMAD4+SOX9	5	7	0.0005514850705113	0.0013040651298482	5	0.0013040651298482	0.0	primary::APC+KRAS+PIK3CA+SMAD4	0.2333725118053449	0.0005699635914256	rule_a_one_step	True	True	True	stable	True	0.4228968764409522	0.3864245859572991	-1.3717412074676345	False	fast_passing	0.3154701022616989	0.1149930436685465	0.6544982772569807	0.0	0.0	500
259	primary::APC+RNF43+TP53	primary	APC+RNF43+TP53	3	7	0.0005514850705113	0.0013074257077584	3	0.0013074257077584	0.0	primary::APC+TP53	0.011635453004577	0.0008598483351684	rule_a_one_step	True	True	True	stable	True	0.4218098717325919	0.3854313288117349	-1.3754542526663445	False	fast_passing	0.3228650433919268	0.098291492311947	0.5754864006558812	0.0	0.0	500
260	primary::APC+ARID1A+TCF7L2+TP53	primary	APC+ARID1A+TCF7L2+TP53	4	5	0.000393917907508	0.0009885140518363	3	0.0009885140518363	0.0	primary::APC+ARID1A+TP53	0.1421575275957145	0.0005599839580702	rule_a_one_step	True	True	True	stable	True	0.3984950000233165	0.3641272233694658	-1.4574854893646925	False	fast_passing	0.294432360346274	0.0615857407242127	0.6463495057227653	0.0	0.0	500
261	primary::APC+KRAS+PIK3CA+PTEN+TP53	primary	APC+KRAS+PIK3CA+PTEN+TP53	5	7	0.0005514850705113	0.0013925861834087	5	0.0013925861834087	0.0	primary::APC+KRAS+PIK3CA+TP53	0.0449794348135538	0.0005492643501221	rule_a_one_step	True	True	True	stable	True	0.3960150378379882	0.361861142880245	-1.4664918973280816	False	fast_passing	0.3014861043630736	0.1201054987940936	0.6322722811475053	0.0	0.0	500
262	primary::APC+KRAS+RNF43+TP53	primary	APC+KRAS+RNF43+TP53	4	6	0.0004727014890096	0.0012031808533703	4	0.0012031808533703	0.0	primary::APC+KRAS+TP53	0.0163733055738625	0.0007481696393949	rule_a_one_step	True	True	True	stable	True	0.3928765050513219	0.3589932895094475	-1.4779712181981568	False	fast_passing	0.2898648023990864	0.0898540425090637	0.5819473422959955	0.0	0.0	500
263	primary::KRAS+PIK3CA+SMAD4+TP53	primary	KRAS+PIK3CA+SMAD4+TP53	4	7	0.0005514850705113	0.0014041788887224	4	0.0014041788887224	0.0	primary::KRAS+SMAD4+TP53	0.1433114335322561	0.0005984011642014	rule_a_one_step	True	True	True	stable	True	0.3927455928498566	0.3588736676913019	-1.4784520254109332	False	fast_passing	0.3078020779752219	0.1138251073124968	0.5864313806300996	0.0	0.0	500
264	metastatic::APC+ARID1A+KRAS+TP53	metastatic	APC+ARID1A+KRAS+TP53	4	16	0.0012605373040258	0.0032471892248105	4	0.0032471892248105	0.0	metastatic::APC+KRAS+TP53	0.0766375039811584	0.0023486952689411	rule_a_one_step	True	True	True	stable	True	0.3881933624336889	0.3547140395366696	-1.49527166179756	True	fast_passing	0.3043243015829684	0.1667015655535143	0.4745671421569308	0.0	0.0	500
265	metastatic::APC+FBXW7+KRAS+PIK3CA+TP53	metastatic	APC+FBXW7+KRAS+PIK3CA+TP53	5	15	0.0011817537225242	0.0031702531145943	5	0.0031702531145943	0.0	metastatic::APC+KRAS+PIK3CA+TP53	0.221566704227285	0.0012044514765368	rule_a_one_step	True	True	True	stable	True	0.3727632083101541	0.3406146426136545	-1.5537876388138516	True	fast_passing	0.2955044931375408	0.1574367011457363	0.4901030969370474	0.0	0.0	500
266	metastatic::APC+KRAS+PIK3CA+SOX9	metastatic	APC+KRAS+PIK3CA+SOX9	4	7	0.0005514850705113	0.0014861776380405	4	0.0014861776380405	0.0	metastatic::APC+KRAS+PIK3CA	0.1852314838309524	0.0010653035783234	rule_a_one_step	True	True	True	stable	True	0.371076145962823	0.3390730791607909	-1.5603318493119398	False	fast_passing	0.2835117257967188	0.0931424785120379	0.5483308395694828	0.0	0.0	500
267	primary::APC+FBXW7+KRAS+PIK3CA+SMAD4+TP53	primary	APC+FBXW7+KRAS+PIK3CA+SMAD4+TP53	6	7	0.0005514850705113	0.0015518612629755	6	0.0015518612629755	0.0	primary::APC+FBXW7+KRAS+SMAD4+TP53	0.3510990916210563	0.0004702343462977	rule_a_one_step	True	True	True	stable	True	0.3553700857888014	0.3247215714106168	-1.6227248681524633	False	fast_passing	0.2798412464846282	0.0905215153964224	0.5628525163147012	0.0	0.0	500
268	primary::APC+NRAS+PIK3CA+TP53	primary	APC+NRAS+PIK3CA+TP53	4	8	0.0006302686520129	0.0017761637363437	4	0.0017761637363437	0.0	primary::APC+NRAS+TP53	0.1514703851769755	0.0006802026278332	rule_a_one_step	True	True	True	stable	True	0.3548482827126495	0.3242447706847514	-1.6248447875438097	False	fast_passing	0.2775691438196116	0.1095228753679854	0.5229866898256322	0.0	0.0	500
269	metastatic::APC+KRAS+PIK3CA+TCF7L2	metastatic	APC+KRAS+PIK3CA+TCF7L2	4	6	0.0004727014890096	0.0013340733682081	3	0.0013340733682081	0.0	metastatic::APC+KRAS+PIK3CA	0.1521931874723266	0.0008752936804128	rule_a_one_step	True	True	True	stable	True	0.3543294543764607	0.3237706881455708	-1.626955714500726	False	fast_passing	0.2707697831530247	0.087341414182756	0.6068647594240929	0.0	0.0	500
270	primary::APC+KRAS+SMAD4+SOX9+TP53	primary	APC+KRAS+SMAD4+SOX9+TP53	5	13	0.0010241865595209	0.0029423882773431	4	0.0029423882773431	0.0	primary::APC+KRAS+SMAD4+TP53	0.1885692719837273	0.0017381710251395	rule_a_one_step	True	True	True	stable	True	0.3480800161757425	0.3180602260832779	-1.6526281229473536	True	fast_passing	0.2741808918942173	0.137586255192925	0.4383456528937052	0.0	0.0	500
