state	N_v	L_v	F_hat	R_star	eligible_relobstq	variant
primary::KEAP1+KRAS+TP53	31	0.00114188890526	0.0026576473813170118	0.5245661877687767	True	full_mhn
primary::EGFR+KRAS	18	0.0006630322675703	0.0026301711196256884	0.307768705644352	True	full_mhn
primary::KEAP1+TP53	50	0.0018417562988065	0.0025291515199348962	0.8890600867499048	True	full_mhn
metastatic::KEAP1+TP53	69	0.002541623692353	0.0025204485153880116	1.2311393647838609	True	full_mhn
primary::KEAP1+STK11+TP53	47	0.0017312509208781	0.0025104372057735075	0.8419464166109105	True	full_mhn
primary::KRAS+PIK3CA	68	0.0025047885663768	0.0025056150682090817	1.220479581881448	True	full_mhn
metastatic::CDKN2A+KRAS+TP53	39	0.0014365699130691	0.0024788752079679846	0.7075316969275454	True	full_mhn
primary::EGFR+PIK3CA	87	0.0032046559599233	0.0024747015939864474	1.5810018285763907	True	full_mhn
metastatic::KEAP1+KRAS+STK11	89	0.0032783262118756	0.002464289087536562	1.624180568869727	True	full_mhn
unknown::NF1	15	0.0005525268896419	0.0024596138128033583	0.27425862442146753	True	full_mhn
primary::KEAP1+KRAS+SMARCA4+STK11	49	0.0018049211728304	0.002438486127482866	0.903673919426781	True	full_mhn
metastatic::KRAS+STK11	95	0.0034993369677324	0.00242734378266513	1.7600632439879043	True	full_mhn
metastatic::EGFR+SETD2+TP53	20	0.0007367025195226	0.0023853522893400453	0.377062571379842	True	full_mhn
primary::ATM+KRAS+STK11	68	0.0025047885663768	0.002324540816660396	1.3155510149750882	True	full_mhn
metastatic::MET+TP53	64	0.0023574480624723	0.0022880448640319696	1.2579152893208159	True	full_mhn
primary::MET	223	0.0082142330926771	0.002281333336819761	4.395943216473243	True	full_mhn
primary::KRAS+SETD2	53	0.0019522616767349	0.0022739304053042636	1.0481770788738396	True	full_mhn
metastatic::ATM+KRAS+TP53	28	0.0010313835273316	0.0022342281786082384	0.5635941337738045	True	full_mhn
primary::KRAS+MET	23	0.000847207897451	0.002223038778965118	0.46528253928841357	True	full_mhn
primary::KRAS+SETD2+TP53	27	0.0009945484013555	0.002187313536354314	0.5551223093493605	True	full_mhn
unknown::SETD2	4	0.0001473405039045	0.0021244798108578104	0.08467268676521447	False	full_mhn
metastatic::ATM+TP53	38	0.0013997347870929	0.002097395785966195	0.8147777545278722	True	full_mhn
metastatic::ARID1A+TP53	38	0.0013997347870929	0.0020888391306598513	0.8181153846455308	True	full_mhn
primary::EGFR+MET	12	0.0004420215117135	0.002066335518023873	0.26116583486901757	True	full_mhn
primary::ARID1A+TP53	30	0.0011050537792839	0.002063188563612191	0.6539104692145343	True	full_mhn
primary::ATM+TP53	24	0.0008840430234271	0.0020454015097482593	0.5276775617008475	True	full_mhn
