condition	topology	sparsity	mask	genotype	event_count	pilot_count	D_true	log2_D_true	placement	state
mutual_exclusivity|s=0.20|late	mutual_exclusivity	0.2	170	E2+E4+E6+E8	4	37	4.0	2.0	late	s1::E2+E4+E6+E8
mutual_exclusivity|s=0.20|late	mutual_exclusivity	0.2	2208	E12+E6+E8	3	37	2.0	1.0	late	s1::E12+E6+E8
mutual_exclusivity|s=0.20|late	mutual_exclusivity	0.2	162	E2+E6+E8	3	36	1.0	0.0	late	s1::E2+E6+E8
mutual_exclusivity|s=0.20|late	mutual_exclusivity	0.2	176	E5+E6+E8	3	36	0.5	-1.0	late	s1::E5+E6+E8
mutual_exclusivity|s=0.20|late	mutual_exclusivity	0.2	168	E4+E6+E8	3	35	1.0	0.0	late	s1::E4+E6+E8
mutual_exclusivity|s=0.20|late	mutual_exclusivity	0.2	149	E1+E3+E5+E8	4	34	2.0	1.0	late	s1::E1+E3+E5+E8
mixed|s=0.05|early	mixed	0.05	1	E1	1	285	0.25	-2.0	early	s1::E1
mixed|s=0.05|early	mixed	0.05	4	E3	1	180	0.25	-2.0	early	s1::E3
mixed|s=0.05|early	mixed	0.05	128	E8	1	143	2.0	1.0	early	s1::E8
mixed|s=0.05|early	mixed	0.05	256	E9	1	139	0.5	-1.0	early	s1::E9
mixed|s=0.05|early	mixed	0.05	16	E5	1	134	1.0	0.0	early	s1::E5
mixed|s=0.05|early	mixed	0.05	1024	E11	1	124	4.0	2.0	early	s1::E11
mixed|s=0.05|early	mixed	0.05	8	E4	1	106	0.5	-1.0	early	s1::E4
mixed|s=0.05|early	mixed	0.05	64	E7	1	98	2.0	1.0	early	s1::E7
mixed|s=0.05|early	mixed	0.05	2048	E12	1	65	4.0	2.0	early	s1::E12
mixed|s=0.05|early	mixed	0.05	32	E6	1	63	1.0	0.0	early	s1::E6
mixed|s=0.05|middle	mixed	0.05	5	E1+E3	2	182	0.25	-2.0	middle	s1::E1+E3
mixed|s=0.05|middle	mixed	0.05	132	E3+E8	2	113	0.5	-1.0	middle	s1::E3+E8
mixed|s=0.05|middle	mixed	0.05	1025	E1+E11	2	63	4.0	2.0	middle	s1::E1+E11
mixed|s=0.05|middle	mixed	0.05	3	E1+E2	2	60	0.5	-1.0	middle	s1::E1+E2
mixed|s=0.05|middle	mixed	0.05	20	E3+E5	2	57	2.0	1.0	middle	s1::E3+E5
mixed|s=0.05|middle	mixed	0.05	17	E1+E5	2	46	2.0	1.0	middle	s1::E1+E5
mixed|s=0.05|middle	mixed	0.05	257	E1+E9	2	46	1.0	0.0	middle	s1::E1+E9
mixed|s=0.05|middle	mixed	0.05	9	E1+E4	2	43	0.25	-2.0	middle	s1::E1+E4
mixed|s=0.05|middle	mixed	0.05	65	E1+E7	2	42	1.0	0.0	middle	s1::E1+E7
mixed|s=0.05|middle	mixed	0.05	2064	E12+E5	2	39	4.0	2.0	middle	s1::E12+E5
mixed|s=0.05|late	mixed	0.05	133	E1+E3+E8	3	117	4.0	2.0	late	s1::E1+E3+E8
mixed|s=0.05|late	mixed	0.05	149	E1+E3+E5+E8	4	90	1.0	0.0	late	s1::E1+E3+E5+E8
mixed|s=0.05|late	mixed	0.05	21	E1+E3+E5	3	83	4.0	2.0	late	s1::E1+E3+E5
mixed|s=0.05|late	mixed	0.05	517	E1+E10+E3	3	53	0.25	-2.0	late	s1::E1+E10+E3
mixed|s=0.05|late	mixed	0.05	1029	E1+E11+E3	3	49	0.5	-1.0	late	s1::E1+E11+E3
mixed|s=0.05|late	mixed	0.05	1157	E1+E11+E3+E8	4	49	2.0	1.0	late	s1::E1+E11+E3+E8
mixed|s=0.05|late	mixed	0.05	148	E3+E5+E8	3	48	1.0	0.0	late	s1::E3+E5+E8
mixed|s=0.05|late	mixed	0.05	389	E1+E3+E8+E9	4	48	2.0	1.0	late	s1::E1+E3+E8+E9
mixed|s=0.05|late	mixed	0.05	261	E1+E3+E9	3	47	0.5	-1.0	late	s1::E1+E3+E9
mixed|s=0.05|late	mixed	0.05	2069	E1+E12+E3+E5	4	45	0.25	-2.0	late	s1::E1+E12+E3+E5
mixed|s=0.10|early	mixed	0.1	128	E8	1	362	1.0	0.0	early	s1::E8
mixed|s=0.10|early	mixed	0.1	64	E7	1	162	1.0	0.0	early	s1::E7
mixed|s=0.10|early	mixed	0.1	1024	E11	1	155	4.0	2.0	early	s1::E11
mixed|s=0.10|early	mixed	0.1	4	E3	1	142	0.5	-1.0	early	s1::E3
mixed|s=0.10|early	mixed	0.1	512	E10	1	140	0.25	-2.0	early	s1::E10
mixed|s=0.10|early	mixed	0.1	2	E2	1	120	4.0	2.0	early	s1::E2
mixed|s=0.10|early	mixed	0.1	8	E4	1	100	2.0	1.0	early	s1::E4
mixed|s=0.10|early	mixed	0.1	16	E5	1	91	2.0	1.0	early	s1::E5
mixed|s=0.10|early	mixed	0.1	32	E6	1	80	0.25	-2.0	early	s1::E6
mixed|s=0.10|early	mixed	0.1	1	E1	1	75	0.5	-1.0	early	s1::E1
mixed|s=0.10|middle	mixed	0.1	192	E7+E8	2	105	0.25	-2.0	middle	s1::E7+E8
mixed|s=0.10|middle	mixed	0.1	640	E10+E8	2	81	2.0	1.0	middle	s1::E10+E8
mixed|s=0.10|middle	mixed	0.1	1152	E11+E8	2	76	0.5	-1.0	middle	s1::E11+E8
mixed|s=0.10|middle	mixed	0.1	144	E5+E8	2	57	0.25	-2.0	middle	s1::E5+E8
mixed|s=0.10|middle	mixed	0.1	2176	E12+E8	2	54	4.0	2.0	middle	s1::E12+E8
mixed|s=0.10|middle	mixed	0.1	1088	E11+E7	2	53	0.5	-1.0	middle	s1::E11+E7
mixed|s=0.10|middle	mixed	0.1	1026	E11+E2	2	50	2.0	1.0	middle	s1::E11+E2
mixed|s=0.10|middle	mixed	0.1	132	E3+E8	2	46	1.0	0.0	middle	s1::E3+E8
mixed|s=0.10|middle	mixed	0.1	384	E8+E9	2	46	1.0	0.0	middle	s1::E8+E9
mixed|s=0.10|middle	mixed	0.1	130	E2+E8	2	42	4.0	2.0	middle	s1::E2+E8
mixed|s=0.10|late	mixed	0.1	1154	E11+E2+E8	3	45	0.25	-2.0	late	s1::E11+E2+E8
mixed|s=0.10|late	mixed	0.1	704	E10+E7+E8	3	43	2.0	1.0	late	s1::E10+E7+E8
mixed|s=0.10|late	mixed	0.1	2184	E12+E4+E8	3	40	4.0	2.0	late	s1::E12+E4+E8
mixed|s=0.10|late	mixed	0.1	1216	E11+E7+E8	3	39	4.0	2.0	late	s1::E11+E7+E8
mixed|s=0.10|late	mixed	0.1	2240	E12+E7+E8	3	39	1.0	0.0	late	s1::E12+E7+E8
mixed|s=0.10|late	mixed	0.1	1664	E10+E11+E8	3	32	0.5	-1.0	late	s1::E10+E11+E8
mixed|s=0.10|late	mixed	0.1	2688	E10+E12+E8	3	26	1.0	0.0	late	s1::E10+E12+E8
mixed|s=0.10|late	mixed	0.1	208	E5+E7+E8	3	25	2.0	1.0	late	s1::E5+E7+E8
mixed|s=0.10|late	mixed	0.1	3200	E11+E12+E8	3	24	0.25	-2.0	late	s1::E11+E12+E8
mixed|s=0.10|late	mixed	0.1	2180	E12+E3+E8	3	22	0.5	-1.0	late	s1::E12+E3+E8
mixed|s=0.20|early	mixed	0.2	16	E5	1	181	0.5	-1.0	early	s1::E5
mixed|s=0.20|early	mixed	0.2	8	E4	1	157	2.0	1.0	early	s1::E4
mixed|s=0.20|early	mixed	0.2	1	E1	1	153	4.0	2.0	early	s1::E1
mixed|s=0.20|early	mixed	0.2	128	E8	1	153	2.0	1.0	early	s1::E8
mixed|s=0.20|early	mixed	0.2	256	E9	1	130	0.5	-1.0	early	s1::E9
mixed|s=0.20|early	mixed	0.2	512	E10	1	124	1.0	0.0	early	s1::E10
mixed|s=0.20|early	mixed	0.2	32	E6	1	123	0.25	-2.0	early	s1::E6
mixed|s=0.20|early	mixed	0.2	1024	E11	1	109	4.0	2.0	early	s1::E11
mixed|s=0.20|early	mixed	0.2	2048	E12	1	105	1.0	0.0	early	s1::E12
mixed|s=0.20|early	mixed	0.2	64	E7	1	99	0.25	-2.0	early	s1::E7
mixed|s=0.20|middle	mixed	0.2	17	E1+E5	2	66	0.5	-1.0	middle	s1::E1+E5
mixed|s=0.20|middle	mixed	0.2	528	E10+E5	2	62	0.25	-2.0	middle	s1::E10+E5
mixed|s=0.20|middle	mixed	0.2	65	E1+E7	2	56	1.0	0.0	middle	s1::E1+E7
mixed|s=0.20|middle	mixed	0.2	144	E5+E8	2	50	4.0	2.0	middle	s1::E5+E8
mixed|s=0.20|middle	mixed	0.2	40	E4+E6	2	46	0.5	-1.0	middle	s1::E4+E6
mixed|s=0.20|middle	mixed	0.2	2176	E12+E8	2	45	4.0	2.0	middle	s1::E12+E8
mixed|s=0.20|middle	mixed	0.2	272	E5+E9	2	44	2.0	1.0	middle	s1::E5+E9
mixed|s=0.20|middle	mixed	0.2	48	E5+E6	2	42	1.0	0.0	middle	s1::E5+E6
mixed|s=0.20|middle	mixed	0.2	10	E2+E4	2	40	0.25	-2.0	middle	s1::E2+E4
mixed|s=0.20|middle	mixed	0.2	130	E2+E8	2	40	2.0	1.0	middle	s1::E2+E8
mixed|s=0.20|late	mixed	0.2	273	E1+E5+E9	3	51	4.0	2.0	late	s1::E1+E5+E9
mixed|s=0.20|late	mixed	0.2	304	E5+E6+E9	3	37	0.25	-2.0	late	s1::E5+E6+E9
mixed|s=0.20|late	mixed	0.2	81	E1+E5+E7	3	36	0.5	-1.0	late	s1::E1+E5+E7
mixed|s=0.20|late	mixed	0.2	145	E1+E5+E8	3	36	2.0	1.0	late	s1::E1+E5+E8
mixed|s=0.20|late	mixed	0.2	816	E10+E5+E6+E9	4	36	4.0	2.0	late	s1::E10+E5+E6+E9
mixed|s=0.20|late	mixed	0.2	147	E1+E2+E5+E8	4	35	0.5	-1.0	late	s1::E1+E2+E5+E8
mixed|s=0.20|late	mixed	0.2	432	E5+E6+E8+E9	4	35	1.0	0.0	late	s1::E5+E6+E8+E9
mixed|s=0.20|late	mixed	0.2	560	E10+E5+E6	3	35	1.0	0.0	late	s1::E10+E5+E6
mixed|s=0.20|late	mixed	0.2	56	E4+E5+E6	3	34	2.0	1.0	late	s1::E4+E5+E6
mixed|s=0.20|late	mixed	0.2	178	E2+E5+E6+E8	4	33	0.25	-2.0	late	s1::E2+E5+E6+E8
