study_id	total_ordered_pairs	pair_qc_raw_pairs	pair_qc_retained_pairs	pair_qc_excluded_event_loss_pairs	evaluable_pairs	persistent_pairs	changed_pairs	persistence_rate	auc	auc_ci_low	auc_ci_high	rank_biserial_persistence	average_precision	average_precision_ci_low	average_precision_ci_high	average_precision_lift	accuracy	balanced_accuracy	high_rstar_persistence_rate	low_rstar_persistence_rate	delta_persistence_rate_high_minus_low	delta_persistence_ci_low	delta_persistence_ci_high	high_rstar_pair_count	low_rstar_pair_count	rstar_contrast_rule	top_bottom_risk_ratio	top_bottom_odds_ratio	top_bottom_fisher_p	top_rstar_lift_over_base	bottom_rstar_lift_over_base	point_biserial_r_persistence	point_biserial_p_persistence	spearman_r_jaccard	spearman_p_jaccard	kendall_tau_jaccard	kendall_p_jaccard	spearman_r_interval	spearman_p_interval	spearman_r_minimum_dwell_interval	spearman_p_minimum_dwell_interval	spearman_r_minimum_dwell_ci_low	spearman_r_minimum_dwell_ci_high	kendall_tau_minimum_dwell_interval	kendall_p_minimum_dwell_interval	median_interval_high_R	median_interval_low_R	delta_interval_high_minus_low	mean_minimum_dwell_high_R	mean_minimum_dwell_low_R	delta_minimum_dwell_high_minus_low	minimum_dwell_mannwhitney_p	interval_mannwhitney_p	median_log2_R_persistent	median_log2_R_changed	mannwhitney_p	exact_state_score_fraction
difg_glass	348	348	280	68	72	51	21	0.7083333333333334	0.6666666666666666	0.533235432330827	0.7864517195767196	0.33333333333333326	0.8433545054477399	0.740907645078993	0.9211938426934082	1.1906181253379857	0.6527777777777778	0.572829131652661	0.875	0.6	0.275	-0.04166666666666663	0.4655551345206518	24	25	outer_tertile_predicted_log2_R	1.4583333333333335	4.161290322580645	0.03037440148988405	1.2352941176470587	0.8470588235294116	0.2128478304157451	0.07263846968833958	0.23849163437165757	0.043647097998622146	0.1893878076941182	0.04542615622029108	-0.21116081689943145	0.07498819173739796	0.18629541907025082	0.11714876141120685	-0.032697456824428775	0.42189293069893735	0.1339052795622995	0.11421891040393724	365.0	821.0	-456.0	438.5416666666667	379.6	58.94166666666666	0.12477275175844577	0.966507641823014	1.1301776032136843	0.831519797224391	0.013639999023168597	1.0
coadread_mskcc	69	69	64	5	23	20	3	0.8695652173913043	0.65	0.3503409090909091	0.9090909090909091	0.30000000000000004	0.9381996097820908	0.8313441955817028	1.0	1.0789295512494044	0.8695652173913043	0.5	1.0	0.875	0.125	-0.20868055555555556	0.4547202797202796	9	8	outer_tertile_predicted_log2_R	1.1428571428571428	3.8	0.4705882352941177	1.1500000000000001	1.00625	0.09194064472477118	0.6765114394954919	0.1771301879280236	0.4187814551855963	0.15774914461488568	0.39938003372808717			0.18012534820460646	0.4108288639172599	-0.17943315316543523	0.5034314660872553	0.16035674514745463	0.3981874621106912	1.0	1.0	0.0	1.0	0.875	0.125	0.17288929307558015	1.0	2.7484342111160185	2.559703952996526	0.2124567312808036	1.0
mnm_washu_2016	20	20	12	8	10	9	1	0.9	0.8888888888888888	0.75	1.0	0.7777777777777777	0.9888888888888889	0.9305257936507938	1.0	1.0987654320987654	0.5	0.7222222222222222	1.0	0.6666666666666666	0.33333333333333337	0.0	0.75	4	3	outer_tertile_predicted_log2_R	1.5	5.4	0.4285714285714286	1.1111111111111112	0.7407407407407407	0.4563691448732783	0.18491874558940874	0.41907903806247476	0.22801177932596045	0.38359763704583366	0.20866778769826422			0.41907903806247476	0.22801177932596045	0.3116489966694857	0.8124971118220228	0.38359763704583366	0.20866778769826422	1.0	1.0	0.0	1.0	0.6666666666666666	0.33333333333333337	0.19323811538561636	1.0	-0.040650304788659886	-0.16187309370994452	0.1405990497820896	1.0
