state	N_v	L_v	F_hat	R_star	eligible_relobstq	variant
primary::PIK3CA+TP53	452	0.041225829989055	0.06306525979196306	0.9550442723676911	True	full_mhn
primary::TP53	1436	0.1309740970448741	0.05210057055787007	3.672714919840143	True	full_mhn
metastatic::PIK3CA+TP53	264	0.0240788033564392	0.03045729924553206	1.1550154543309918	True	full_mhn
metastatic::TP53	711	0.0648485954031375	0.02596316057900547	3.6491128978651073	True	full_mhn
primary::MAP3K1+PIK3CA	158	0.014410798978475	0.02135666291935739	0.9858230140079229	True	full_mhn
primary::GATA3+PIK3CA	115	0.0104888726742064	0.020121540179170158	0.7615735964913433	True	full_mhn
primary::PIK3CA	766	0.0698650127690623	0.019888108039507517	5.132282549303074	True	full_mhn
unknown::TP53	33	0.0030098504195549	0.01746850233587446	0.2517291597794076	True	full_mhn
primary::MAP3K1+PIK3CA+TP53	32	0.0029186428310835	0.012255389977173235	0.34793498667221584	True	full_mhn
primary::PTEN+TP53	85	0.0077526450200656	0.01196549154679608	0.9465937661056509	True	full_mhn
primary::GATA3	332	0.0302809193724917	0.011571218649248153	3.823263601712891	True	full_mhn
primary::GATA3+TP53	48	0.0043779642466253	0.010728072895386971	0.5962038555155551	True	full_mhn
metastatic::PIK3CA	304	0.0277271068952936	0.009910796314002067	4.087335540486076	True	full_mhn
primary::RB1+TP53	78	0.0071141919007661	0.009242565367967559	1.1245462728777542	True	full_mhn
metastatic::GATA3+PIK3CA	42	0.0038307187157971	0.00921025541062978	0.6076491226428129	True	full_mhn
primary::NF1+TP53	59	0.0053812477198102	0.009071968705718216	0.8666140521271476	True	full_mhn
primary::BRCA2+TP53	49	0.0044691718350966	0.008611828826168509	0.7581863296709306	True	full_mhn
metastatic::MAP3K1+PIK3CA	45	0.0041043414812112	0.008388539797385602	0.7148277490189014	True	full_mhn
primary::CBFB+GATA3+PIK3CA	41	0.0037395111273257	0.008271159338842267	0.6605302749674425	True	full_mhn
primary::AKT1+TP53	57	0.0051988325428675	0.008193533957861881	0.9269981262712562	True	full_mhn
primary::NF1+PIK3CA+TP53	31	0.0028274352426121	0.007788005200192127	0.5304087985121895	True	full_mhn
primary::CBFB+PIK3CA	48	0.0043779642466253	0.0071987585082148135	0.8885029849091967	True	full_mhn
metastatic::MAP3K1+PIK3CA+TP53	23	0.0020977745348412	0.007094631976074111	0.4319895315634523	True	full_mhn
primary::BRCA1+TP53	73	0.0066581539584093	0.006923699636460633	1.4049468652761887	True	full_mhn
