rule	source_state	target_state	predecessor_type	event_added	step_distance	edge_probability	source_L	inflow_contribution
rule_a_one_step	primary::NF1+TP53	primary::NF1+PIK3CA+TP53	same_stage_one_event	PIK3CA	1	0.5457543460058706	0.005381247719810288	0.0029368393300206463
rule_a_one_step	primary::NF1+PIK3CA	primary::NF1+PIK3CA+TP53	same_stage_one_event	TP53	1	0.11208209850162595	0.0017329441809558555	0.0001942320203877137
rule_a_one_step	primary::PTEN+TP53	primary::PIK3CA+PTEN+TP53	same_stage_one_event	PIK3CA	1	0.46888895535197816	0.0077526450200656695	0.0036351296246733074
rule_a_one_step	primary::PIK3CA+TP53	primary::PIK3CA+PTEN+TP53	same_stage_one_event	PTEN	1	0.0314053917661105	0.041225829989055086	0.0012947133416893418
rule_a_one_step	primary::PIK3CA+PTEN	primary::PIK3CA+PTEN+TP53	same_stage_one_event	TP53	1	0.10850857380648782	0.0037395111273257936	0.00040576901915961335
rule_a_one_step	metastatic::PIK3CA+TP53	metastatic::NF1+PIK3CA+TP53	same_stage_one_event	NF1	1	0.11296155471024326	0.024078803356439256	0.002719979062705602
rule_a_one_step	metastatic::NF1+TP53	metastatic::NF1+PIK3CA+TP53	same_stage_one_event	PIK3CA	1	0.5457543460058706	0.0020977745348412986	0.0011448695693300822
rule_a_one_step	metastatic::NF1+PIK3CA	metastatic::NF1+PIK3CA+TP53	same_stage_one_event	TP53	1	0.11208209850162595	0.0010944910616563297	0.00012267285498171392
rule_a_one_step	metastatic::TP53	metastatic::BRCA1+TP53	same_stage_one_event	BRCA1	1	0.0467155147938018	0.06484859540313755	0.0030294355179125397
rule_a_one_step	metastatic::BRCA1	metastatic::BRCA1+TP53	same_stage_one_event	TP53	1	0.5192919747208943	0.0009120758847136082	0.0004736336872682363
rule_a_one_step	metastatic::TP53	metastatic::ESR1+TP53	same_stage_one_event	ESR1	1	0.026653421023359592	0.06484859540313755	0.0017284369160533264
rule_a_one_step	metastatic::ESR1	metastatic::ESR1+TP53	same_stage_one_event	TP53	1	0.14324716718304256	0.0068405691353520615	0.0009798921505589377
rule_a_one_step	primary::WT	primary::NF1	same_stage_one_event	NF1	1	0.015503433635571594	0.10908427581174754	0.0016911808307318156
rule_a_one_step	metastatic::WT	metastatic::BRCA2	same_stage_one_event	BRCA2	1	0.01795348088966434	0.05435972272893105	0.0009759462431813158
rule_a_one_step	primary::GATA3	primary::AKT1+GATA3	same_stage_one_event	AKT1	1	0.08927836810993012	0.03028091937249179	0.0027034310664444364
rule_a_one_step	primary::AKT1	primary::AKT1+GATA3	same_stage_one_event	GATA3	1	0.12571850155468808	0.007114191900766144	0.0008943855455368178
rule_a_one_step	primary::RUNX1	primary::PIK3CA+RUNX1	same_stage_one_event	PIK3CA	1	0.2194762718681407	0.0016417365924844946	0.00036032222670800187
rule_a_one_step	primary::PIK3CA	primary::PIK3CA+RUNX1	same_stage_one_event	RUNX1	1	0.05007251855858002	0.06986501276906239	0.0034983171484743066
rule_a_one_step	primary::TP53	primary::RUNX1+TP53	same_stage_one_event	RUNX1	1	0.02783956663319629	0.13097409704487414	0.0036462621019034912
rule_a_one_step	primary::RUNX1	primary::RUNX1+TP53	same_stage_one_event	TP53	1	0.394486609156085	0.0016417365924844946	0.0006476431014966736
rule_a_one_step	metastatic::TP53	metastatic::MAP3K1+TP53	same_stage_one_event	MAP3K1	1	0.04515159486899379	0.06484859540313755	0.0029280175074657593
rule_a_one_step	metastatic::MAP3K1	metastatic::MAP3K1+TP53	same_stage_one_event	TP53	1	0.17338413659322793	0.002006566946369938	0.0003479068775128616
rule_a_one_step	primary::TP53	primary::ATM+TP53	same_stage_one_event	ATM	1	0.03753275794870049	0.13097409704487414	0.00491581908193487
rule_a_one_step	primary::ATM	primary::ATM+TP53	same_stage_one_event	TP53	1	0.22702831531578999	0.0021889821233126595	0.000496960923712054
rule_a_one_step	primary::WT	primary::ESR1	same_stage_one_event	ESR1	1	0.03211449413773991	0.10908427581174754	0.0035031863360759697
