state	N_v	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
metastatic::EGFR+MET	6	0.27540345322988635	0.08803874038882512	0.5443751400273524	0.0	0.0	500
primary::EGFR+PIK3CA+RBM10	8	0.3657252453002813	0.13806413089645878	0.6660499129607399	0.0	0.0	500
metastatic::KRAS+PIK3CA	27	1.2615251604600108	0.7880185748912819	1.754709726052305	0.0	0.0	500
metastatic::KEAP1+KRAS+SMARCA4+STK11+TP53	2	0.09276965409251993	0.0	0.2743930880709328	0.0	0.0	500
primary::NF1+STK11+TP53	16	0.7496972873349043	0.4197771115651368	1.1958114736680325	0.0	0.0	500
primary::SMARCA4	16	0.780051721557353	0.4405068762077598	1.1824430846242684	0.0	0.0	500
primary::BRAF+STK11+TP53	14	0.6812495945955165	0.35015379240442973	1.0909573325099413	0.0	0.0	500
metastatic::NF1	22	1.05887851658891	0.6400413761038878	1.5832846825401328	0.0	0.0	500
metastatic::EGFR+KRAS+TP53	18	0.8860632171544189	0.4855313569399793	1.3738852926929737	0.0	0.0	500
metastatic::KRAS+MET	6	0.27483622796460266	0.06939459637689663	0.555043232199308	0.0	0.0	500
primary::KEAP1+KRAS+RBM10+SMARCA4+STK11	6	0.3028063424818429	0.08922717528755325	0.6321332017495322	0.0	0.0	500
primary::ATM+KEAP1+KRAS+SMARCA4+STK11	4	0.20087556267678627	0.04313873594876939	0.4261650703249716	0.0	0.0	500
metastatic::BRAF+SETD2+TP53	10	0.48533450309912185	0.21945589439831475	0.8574241597784968	0.0	0.0	500
primary::EGFR+NF1	16	0.8221334240956913	0.45156530773595105	1.2755553841921994	0.0	0.0	500
primary::BRAF+NF1+TP53	9	0.4460924634322027	0.162010265972678	0.7933004849072159	0.0	0.0	500
metastatic::KEAP1+KRAS	39	2.1364709335109247	1.4407179548768114	3.0276996200691073	0.0	0.002	500
metastatic::ARID1A+KRAS	9	0.4757229520356652	0.21280695359324883	0.861563404071906	0.0	0.0	500
primary::CDKN2A	24	1.301627417140037	0.8465732141619391	1.8079381797397744	0.0	0.0	500
primary::BRAF+SETD2	36	1.962950207451502	1.3463585933049118	2.7439019484508336	0.0	0.0	500
primary::CDKN2A+EGFR	27	1.454978642588077	0.8862854865940772	2.1556194933162125	0.0	0.0	500
primary::KRAS+MET+TP53	25	1.3571422335536552	0.7570325269348901	2.1784331316886276	0.0	0.0	500
primary::MET+NF1+TP53	10	0.5613403805452968	0.27025498458910224	0.9956482888886145	0.0	0.0	500
metastatic::SETD2	45	2.512656930401818	1.731357182627773	3.376589604556264	0.0	0.016	500
metastatic::CDKN2A+KRAS	11	0.6229100000724395	0.27673760316098645	1.018242329999089	0.0	0.0	500
metastatic::ATM+KEAP1+KRAS+SMARCA4+STK11	6	0.33595216579619647	0.10128064127580065	0.6819302785035192	0.0	0.0	500
primary::EGFR+SMARCA4	30	1.7150122901042604	1.1021643532843803	2.470321239128613	0.0	0.0	500
metastatic::BRAF+STK11+TP53	11	0.624731257809008	0.29921855112102375	1.058084996433501	0.0	0.0	500
metastatic::EGFR+SETD2	13	0.7540546235952895	0.33429370797589864	1.232122043173891	0.0	0.0	500
primary::BRAF+STK11	28	1.683655644299975	1.0287495952504626	2.4032927810089313	0.0	0.0	500
unknown::ATM+EGFR+TP53	12	0.7433388971775842	0.3053220497083352	1.2719707364696353	0.0	0.0	500
unknown::CDKN2A+EGFR+TP53	3	0.18093572172204564	0.0	0.41655629568635266	0.0	0.0	500
primary::ATM+EGFR+RBM10+TP53	4	0.25400072691771247	0.05514905332613388	0.5324738208306548	0.0	0.0	500
metastatic::NF1+STK11+TP53	10	0.5984878340672565	0.24581051437208482	1.0972524384624969	0.0	0.0	500
metastatic::ATM+EGFR+RBM10+TP53	1	0.05964922081895864	0.0	0.2087649028107526	0.0	0.0	500
metastatic::CDKN2A+EGFR+PIK3CA+TP53	3	0.1842695116135722	0.0	0.46026614982131236	0.0	0.0	500
primary::CDKN2A+EGFR+PIK3CA+TP53	2	0.12066879280834739	0.0	0.34107164052765604	0.0	0.0	500
primary::EGFR+NF1+RBM10+TP53	3	0.18770441246603561	0.0	0.4355872847893176	0.0	0.0	500
primary::KEAP1+SMARCA4+STK11	15	0.9785810884971833	0.49861060198320334	1.6109368555970747	0.0	0.0	500
primary::CDKN2A+EGFR+RBM10+TP53	4	0.25201489519031156	0.05734025017603345	0.564532536196185	0.0	0.0	500
metastatic::BRAF+KRAS	11	0.7041100368738499	0.3151541562970681	1.1997342897443637	0.0	0.0	500
primary::ATM+KRAS+STK11+TP53	4	0.25468139271971196	0.059420279636504314	0.5590292542816571	0.0	0.0	500
metastatic::BRAF+NF1+TP53	10	0.6358957020459091	0.27955718816494135	1.1325417696747686	0.0	0.0	500
metastatic::KEAP1+NF1+TP53	15	0.9799332688432828	0.5227791161836546	1.5541519717430579	0.0	0.0	500
primary::KEAP1+NF1+STK11+TP53	8	0.5216667529868104	0.21325256276571602	1.026621931652005	0.0	0.0	500
metastatic::ATM+KRAS+RBM10	23	1.5241344362506224	0.8841752350240522	2.2931874842749864	0.0	0.0	500
metastatic::KRAS+RBM10+STK11	4	0.2662619335098756	0.056969473320858756	0.5758236156070989	0.0	0.0	500
metastatic::ARID1A+EGFR	16	1.0662608807827627	0.5787111735955227	1.7103196319440865	0.0	0.0	500
unknown::STK11+TP53	5	0.33510630981229567	0.06191246690413495	0.6882103821343016	0.0	0.0	500
primary::KRAS+PIK3CA+STK11	2	0.13233048133203593	0.0	0.37271314628219065	0.0	0.0	500
metastatic::ATM+EGFR+PIK3CA+TP53	2	0.12922875675643936	0.0	0.3526804803266122	0.0	0.0	500
metastatic::KEAP1+KRAS+RBM10+STK11	10	0.6564170432874662	0.26930540213335935	1.1901445191357947	0.0	0.0	500
metastatic::PIK3CA	26	1.7041698828123313	1.0406771191485256	2.493627960234953	0.0	0.0	500
primary::KRAS+RBM10+SETD2	16	1.0699583465295266	0.5638459019063367	1.6900217568794476	0.0	0.0	500
primary::BRAF+KEAP1+STK11	14	0.9405161059585	0.4516170500365469	1.7165714542416741	0.0	0.0	500
primary::KRAS+PIK3CA+RBM10	7	0.4661145829399088	0.14777467333551692	0.9072579155082862	0.0	0.0	500
metastatic::KEAP1+KRAS+RBM10+SMARCA4+STK11	4	0.2749790157987836	0.05436299982679394	0.6076092721845007	0.0	0.0	500
metastatic::ARID1A	28	1.9010482135428401	1.233482960481882	2.8305266700819063	0.0	0.002	500
metastatic::KEAP1+SMARCA4+TP53	10	0.6564589725389296	0.26490122261006976	1.1702868095772474	0.0	0.0	500
primary::EGFR+MET+RBM10	5	0.34301868784062506	0.07518381838979825	0.6967335794179736	0.0	0.0	500
primary::MET+STK11+TP53	7	0.4795970410599123	0.13969934738549566	0.8886510773208838	0.0	0.0	500
primary::BRAF+CDKN2A+TP53	8	0.5463708642557294	0.20000856581179904	0.9961369871182468	0.0	0.0	500
unknown::EGFR+NF1+TP53	3	0.20830008231437994	0.0	0.5006018546158928	0.0	0.0	500
primary::KRAS+NF1+RBM10	12	0.8194715306140095	0.41377713796885535	1.4146340322679827	0.0	0.0	500
primary::CDKN2A+MET+TP53	8	0.5645016581245705	0.1914569193745045	1.0049947519187297	0.0	0.0	500
