repeat	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	mask	D_true	log2_D_true	truth_level	pilot_count	log2_occupancy_reference
1	s1::E11	s1	E11	1	174	0.0348	0.014418522587109808	1	0.014418522587109808	0.0	s1::WT	0.11916134369512238	0.014418522587109808	rule_a_one_step	True	True	True	stable	True	2.4135621238127207	1.3894525515958134	0.4745165687981257	True	relative_bottleneck	1024	4.0	2.0	D=4	414	4.857980995127572
1	s1::E7	s1	E7	1	41	0.0082	0.010394289894051875	1	0.010394289894051875	0.0	s1::WT	0.08590322226489153	0.010394289894051875	rule_a_one_step	True	True	True	stable	True	0.7888946799437978	0.45415517387085336	-1.1387427790355937	True	fast_passing	64	1.0	0.0	D=1	239	2.7725895038969277
1	s1::E3	s1	E3	1	16	0.0032	0.010348362698354766	1	0.010348362698354766	0.0	s1::WT	0.08552365866408898	0.010348362698354766	rule_a_one_step	True	True	True	stable	True	0.30922766170531735	0.178017859719197	-2.4899061074272906	True	fast_passing	4	0.5	-1.0	D=0.5	263	1.415037499278844
1	s1::E4	s1	E4	1	17	0.0034	0.009852603398208992	1	0.009852603398208992	0.0	s1::WT	0.08142647436536357	0.009852603398208992	rule_a_one_step	True	True	True	stable	True	0.3450864570751895	0.19866124578837907	-2.3316176312680112	True	fast_passing	8	0.25	-2.0	D=0.25	278	1.5025003405291832
1	s1::E10	s1	E10	1	29	0.0058	0.009585027316426666	1	0.009585027316426666	0.0	s1::WT	0.07921510178865013	0.009585027316426666	rule_a_one_step	True	True	True	stable	True	0.6051104298320509	0.3483532586263861	-1.5213770360245429	True	fast_passing	512	0.5	-1.0	D=0.5	309	2.273018494406416
1	s1::E11+E3	s1	E11+E3	2	38	0.0076	0.009415018874788971	2	0.009415018874788971	0.0	s1::E11	0.2621165515068501	0.009121655992438383	rule_a_one_step	True	True	True	stable	True	0.8072208988920508	0.464705311125464	-1.1056119613566033	True	fast_passing	1028	4.0	2.0	D=4	119	2.6629650127224296
1	s1::E2	s1	E2	1	79	0.0158	0.009013978834438555	1	0.009013978834438555	0.0	s1::WT	0.07449569284659964	0.009013978834438555	rule_a_one_step	True	True	True	stable	True	1.7528330483628527	1.0090804489929148	0.013041197968968757	True	relative_bottleneck	2	2.0	1.0	D=2	282	3.718818247455947
1	s1::E15	s1	E15	1	37	0.0074	0.008279742481032736	1	0.008279742481032736	0.0	s1::WT	0.0684276238101879	0.008279742481032736	rule_a_one_step	True	True	True	stable	True	0.8937476033896222	0.5145174743008654	-0.9587080194025251	True	fast_passing	16384	1.0	0.0	D=1	290	2.624490864907794
1	s1::E13	s1	E13	1	19	0.0038	0.00729360248912743	1	0.00729360248912743	0.0	s1::WT	0.0602777065217143	0.00729360248912743	rule_a_one_step	True	True	True	stable	True	0.5210045385861998	0.29993472237127555	-1.7372795473617844	True	fast_passing	4096	0.25	-2.0	D=0.25	236	1.6629650127224294
1	s1::E11+E7	s1	E11+E7	2	7	0.0014	0.004830068666307873	2	0.004830068666307873	0.0	s1::E11	0.09103279043999091	0.0031679411073116835	rule_a_one_step	True	True	True	stable	True	0.28985095170092384	0.1668629700681255	-2.5832642649705444	False	fast_passing	1088	0.5	-1.0	D=0.5	83	0.22239242133644802
