D_true	truth_level	states	median_log2_R_star	q1_log2_R_star	q3_log2_R_star	median_log2_occupancy
0.25	D=0.25	163	-2.1946319100869114	-2.4234626218738238	-1.825222009373562	0.8744691179161413
0.5	D=0.5	234	-1.716064154869727	-2.039378438695377	-1.4438539227084193	1.1347303374966133
1.0	D=1	299	-0.6643398765049686	-1.0802975630414449	-0.24605879870607186	1.4405725913859815
2.0	D=2	299	0.014283524568395654	-0.6621139799987863	0.9587781611493597	1.7369655941662063
4.0	D=4	300	0.5993267542036939	-0.24948874292037104	0.9838750251121582	2.1926450779423963
