metric	favorable_direction	paired_repeats	R_star_median	occupancy_median	paired_wilcoxon_p
spearman	higher	60	0.7654534609206811	0.5302329530821168	8.147778971559672e-12
kendall	higher	60	0.6233424333477544	0.4109289913306132	8.147778971559672e-12
pairwise_concordance	higher	60	0.8422855879752431	0.7272727272727273	8.147778971559672e-12
calibration_slope	higher	60	0.6876850095212914	0.47860433625566656	8.147778971559672e-12
median_abs_error	lower	60	0.8809086536394918	1.1637052251375297	1.0553434210565784e-10
adjacent_ordered_levels	higher	60	4.0	3.0	5.277284431275417e-10
