metric	n	median	q1	q3
truth_states_evaluable	60	22.0	21.0	22.0
spearman_R_star	60	0.7654534609206811	0.7179462272163326	0.8038157543320037
spearman_R_star_p	60	4.3362492706086226e-05	7.151154432596945e-06	0.00013439359624599657
spearman_occupancy	60	0.5302329530821168	0.46261803373447474	0.5894640041688541
spearman_occupancy_p	60	0.013190384485817873	0.0037677440106597265	0.030185433434276116
spearman_gain	60	0.2334708454337722	0.1784633576265128	0.29778501707137706
kendall_R_star	60	0.6233424333477544	0.5783374691339903	0.6697614308468008
kendall_R_star_p	60	0.00017582432887849599	6.162499485673834e-05	0.00041759884353311324
kendall_occupancy	60	0.4109289913306132	0.36731288475602836	0.45152679479880425
kendall_occupancy_p	60	0.015342516449725807	0.006373561630771941	0.031023908814522532
kendall_gain	60	0.20619038518315222	0.1679641097230438	0.28587980320525536
pairwise_concordance_R_star	60	0.8422855879752431	0.8173042385057472	0.8687637061403509
pairwise_concordance_occupancy	60	0.7272727272727273	0.7034883720930233	0.7503048780487804
median_abs_error_log2_R_star	60	0.8809086536394918	0.7875310517086098	0.9623108367552444
median_abs_error_log2_occupancy	60	1.1637052251375297	1.0	1.3298483525120413
absolute_error_gain	60	0.33763284416212314	0.12942808573649628	0.468203060860317
calibration_slope_R_star	60	0.6876850095212914	0.6296796962710405	0.7444169564232362
calibration_slope_occupancy	60	0.47860433625566656	0.4349681661708184	0.5224496264506421
calibration_slope_gain	60	0.200176932501225	0.13050446460084095	0.27571424952861767
adjacent_ordered_levels_R_star	60	4.0	4.0	4.0
adjacent_ordered_levels_occupancy	60	3.0	2.0	3.0
adjacent_level_comparisons	60	4.0	4.0	4.0
