state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
primary::APC+ARID1A+BRAF+FBXW7	primary	APC+ARID1A+BRAF+FBXW7	4	2	0.00015756716300323014	2.1718420373046185e-05	3	2.1718420373046185e-05	0.0	primary::ARID1A+BRAF+FBXW7	0.18789402448277537	1.480296419150519e-05	rule_a_one_step	False	True	False	rare_state	False	7.255000734021125	6.629300926405541	2.728856743160952	False	relative_bottleneck	5.853024304829143	0.0	295.30345410193723	0.046	0.0	500
metastatic::APC+RNF43	metastatic	APC+RNF43	2	2	0.00015756716300323014	2.1487353107628192e-05	2	2.1487353107628192e-05	0.0	metastatic::RNF43	0.18974126552783593	1.4948496456931849e-05	rule_a_one_step	False	True	False	rare_state	False	7.333018398356105	6.700590040413007	2.744288141972957	False	relative_bottleneck	5.734733053366389	0.0	34.42985315043486	0.034	0.0	500
metastatic::APC+ARID1A+TCF7L2	metastatic	APC+ARID1A+TCF7L2	3	1	7.878358150161507e-05	2.1454838453574543e-05	2	2.1454838453574543e-05	0.0	metastatic::APC+ARID1A	0.06828194276114655	1.6138488007834213e-05	rule_a_one_step	False	True	False	rare_state	False	3.6720657673571693	3.3553723680839087	1.7464728808152792	False	relative_bottleneck	2.274327558610892	0.0	18.568609421111145	0.004	0.0	500
primary::ARID1A+CTNNB1+RNF43+TCF7L2	primary	ARID1A+CTNNB1+RNF43+TCF7L2	4	1	7.878358150161507e-05	2.1454054700467183e-05	2	2.1454054700467183e-05	0.0	primary::CTNNB1+RNF43+TCF7L2	0.22885458733701142	1.8029984033483922e-05	rule_a_one_step	False	True	False	rare_state	False	3.6721999141588637	3.3554949455376337	1.7465255839537468	False	relative_bottleneck	2.587849606937642	0.0	130015649.0104328	0.0	0.0	500
primary::ARID1A+BRAF+FBXW7+RNF43+SMAD4+TGFBR2+TP53	primary	ARID1A+BRAF+FBXW7+RNF43+SMAD4+TGFBR2+TP53	7	1	7.878358150161507e-05	2.142554547191683e-05	3	2.142554547191683e-05	0.0	primary::ARID1A+BRAF+FBXW7+RNF43+SMAD4+TP53	0.20783805440450143	1.6374226298314146e-05	rule_a_one_step	False	True	False	rare_state	False	3.6770862113075764	3.359959829195433	1.7484439846210063	False	relative_bottleneck	2.7553517239348646	0.0	62030765.53503211	0.002	0.0	500
primary::CTNNB1+KRAS+SMAD4+SOX9	primary	CTNNB1+KRAS+SMAD4+SOX9	4	1	7.878358150161507e-05	2.1422771354221387e-05	2	2.1422771354221387e-05	0.0	primary::CTNNB1+KRAS+SOX9	0.10506296191533208	1.655447284571529e-05	rule_a_one_step	False	True	False	rare_state	False	3.677562371430916	3.3603949233963157	1.7486307926899012	False	relative_bottleneck	2.2273230056267392	0.0	61576978.99437916	0.002	0.0	500
primary::ARID1A+BRAF+CTNNB1+PTEN+RNF43	primary	ARID1A+BRAF+CTNNB1+PTEN+RNF43	5	1	7.878358150161507e-05	2.1327767346541835e-05	1	2.1327767346541835e-05	0.0	primary::ARID1A+BRAF+PTEN+RNF43	0.09023778364321851	2.1327767346541835e-05	rule_a_one_step	False	True	False	rare_state	False	3.69394398051915	3.3753637180644387	1.7550429706005102	False	relative_bottleneck	2.2151281907796823	0.0	62396052.07671607	0.0	0.0	500
metastatic::APC+ARID1A+KRAS+PIK3CA+SOX9+TCF7L2+TGFBR2+TP53	metastatic	APC+ARID1A+KRAS+PIK3CA+SOX9+TCF7L2+TGFBR2+TP53	8	1	7.878358150161507e-05	2.1321187967790622e-05	1	2.1321187967790622e-05	0.0	metastatic::APC+ARID1A+KRAS+PIK3CA+TCF7L2+TGFBR2+TP53	0.27062983887516634	2.1321187967790622e-05	rule_a_one_step	False	True	False	rare_state	False	3.6950838726973165	3.3764053014563307	1.7554880945974156	False	relative_bottleneck	2.8525826238365593	0.0	154450050.25321388	0.002	0.0	500
primary::APC+ARID1A+BRAF+PIK3CA+RNF43+SMAD4+TCF7L2	primary	APC+ARID1A+BRAF+PIK3CA+RNF43+SMAD4+TCF7L2	7	1	7.878358150161507e-05	2.116193779346064e-05	1	2.116193779346064e-05	0.0	primary::APC+ARID1A+BRAF+PIK3CA+RNF43+SMAD4	0.2686084764123959	2.116193779346064e-05	rule_a_one_step	False	True	False	rare_state	False	3.7228905286296543	3.401813801977642	1.7663041773578578	False	relative_bottleneck	2.823950621530245	0.0	175907762.95726067	0.002	0.0	500
unknown::BRAF+FBXW7+TP53	unknown	BRAF+FBXW7+TP53	3	1	7.878358150161507e-05	2.116005690640727e-05	1	2.116005690640727e-05	0.0	unknown::BRAF+TP53	0.06714615057825686	2.116005690640727e-05	rule_a_one_step	False	True	False	rare_state	False	3.7232214510036563	3.402116184304118	1.7664324107418068	False	relative_bottleneck	2.295412362251373	0.0	18.595937227226855	0.002	0.0	500
primary::APC+BRAF+KRAS+TGFBR2	primary	APC+BRAF+KRAS+TGFBR2	4	1	7.878358150161507e-05	2.107339276137237e-05	3	2.107339276137237e-05	0.0	primary::APC+BRAF+KRAS	0.03207085674565623	1.7686598693736205e-05	rule_a_one_step	False	True	False	rare_state	False	3.738533166215769	3.416107356953422	1.772353314803411	False	relative_bottleneck	2.6482496945704947	0.0	14.87154296970027	0.006	0.0	500
