lambda	mean_test_log_likelihood	standard_error	lambda_multiplier	selected
7.878358150161507e-06	-5.166756017469211	0.02149652890995766	0.1	False
2.3635074450484518e-05	-5.1657373288526065	0.02176490330465127	0.3	False
7.878358150161507e-05	-5.166364444185215	0.021711860188894597	1.0	False
0.0002363507445048452	-5.171593826601549	0.021902710740380287	3.0	False
0.0007878358150161507	-5.181013394165542	0.02087878428129878	10.0	True
